reviews,ratings,votes,class,classnum
A great course. Develops a complete background for data analytics and makes us realize that are we actually interested in it or not. ,5,0,good,1
This coruse was very  informative with laying the foundation what exactly what Data Analystis do and a lot of the common terms used.,5,0,good,1
"I Was Really Curious about this course, Now I got to know what is exact structure and roadmap of data analysis, found helpful to me.",5,0,good,1
"An excellent introductory course, very clear and useful to get the bigger picture and deeply understand the role of the data analyst",5,0,good,1
Great course for newbies that have not back ground in data analytics.  Informative course work that is easy to understand and apply. ,5,0,good,1
This course will give you the basic understanding what data analysis does. And how it applies to just about everything we do and use,5,0,good,1
"This is what we call perfection, the course is constructed in a step by step manner that helps anyone to understand concepts easily.",5,0,good,1
It's an outstanding course that helped me build my foundations on data. Recommended for anyone trying to learn about data analytics.,5,0,good,1
It's great to learn data analysis in this course. The learning method used makes it easy for me to understand what data analysis is.,5,0,good,1
The course was very informative for a beginner. The instructor is energetic and can keep the attention of the student in the course.,5,0,good,1
It is a very organized course that helped me develop analytical thinking and introduced me to the world of data analysis! Thank you!,5,0,good,1
The wonderful world of data! There is so much useful and interesting material to go through within this first course of the program. ,5,0,good,1
It has been great journey with the great professor of google.,5,0,good,1
I really enjoyed how this course is broken down. they way each chapter is being instructed by a different person is very fascinating,5,0,good,1
Great introduction to the data analysis journey. I learned new things and started seeing how integral data is in every part of life.,5,0,good,1
A<U+200B> good course to understand the structure of data analysis and the basic tools used. Can't wait to dive deeper into data analysis !,5,0,good,1
great course! many hands-on activities and quizzes are presented in case analysis format that resemble realistic career experiences!,5,0,good,1
"It's a good introduction to what data analytics is, and it made me very motivated to find additional educational resources about it.",5,0,good,1
"the course is completely helpful for starting your journey in data analytics, everything is well put and the instructors are clear.  ",5,0,good,1
The introductory provided in this course was very relevant. It helped me to have a broader view of what I knew about data analysis! ,5,0,good,1
Everything or Every concept right from the beginning have been explained very well with suitable examples and detailed explanation.,5,0,good,1
"This course motivated me a lot, and I learned things that I can apply, not only in future job researches, but in my daily life too.",5,0,good,1
"Great program, I like the information of every single week. Helps to understand the process and a piece of the programs we will use",5,0,good,1
This gives a great foundation for Data Analytics. ,5,0,good,1
It was an amazing opportunity learn about the basic fundamentals of the data analytics and the content was very easy to understand. ,5,0,good,1
They teach so subtly that even I did not realize how much I had learnt during the course until I gave the final test of the course.,5,0,good,1
This course build a strong foundation of data analytics. This is really interesting to know the power of data and what data can do.,5,0,good,1
Excellent course as all Google courses are being for me. It gives an introduction to data analysis and there comes the next course!,5,0,good,1
The course was super interesting and easy to understand. It has helped me build a strong foundation in my data analytics knowledge.,5,0,good,1
Je suis très bien à l'aise ici  et ce grace à tout le monde qui participe à ma  progression  dans mes cours. Merci bien infiniment. ,5,0,good,1
"I enjoyed every aspect of it, I thought this won't teach me a lot, since I've studied and worked as a Statistician but I was wrong! ",5,0,good,1
Good introduction to the course. A nice refresher for people already familiar with analytics. The course is very beginner-friendly.,5,0,good,1
this course helps me to understand how data analyst able to make business decision and full overview about phases of data analysis.,5,0,good,1
This course was very informative. I enjoyed the videos as they broke down each topic into simpler more concise terms. Kudos Google!,5,0,good,1
Thank you for the convivence of taking this course. I'm hoping that this certification will make more marketable to the job market. ,5,0,good,1
Great introduction for what promises to be a real challenge to prior knowledge and new details. Looking forward to what comes next!,5,0,good,1
I think it is a good introduction. I try to write as many as I can because written communication skills will need much more. Thanks,5,0,good,1
"This course give a wonderfull view of what a data analyst can do and what they do, I am really looking forward to the next course.",5,0,good,1
This course has helped me gain insight into the world of data analytics and would highly recommend it for beginners in this field.,5,0,good,1
T<U+200B>his is great! This has been an eye opener for me. I didnt knoe I using data in the daily basis. I recommend the course to anyone,5,0,good,1
Data is life.  Having data all around and no knowing what to do with it is now in the past.  I navigate my day in the eye of data.,5,0,good,1
"very informative, delivers content is a very effective way making it easy to grasp important concepts. i really enjoyed the course",5,0,good,1
Excellent course. Everything is instantly usable for real life application. I am already applying the Data analyst skills learned.,5,0,good,1
It was very interesting and useful for me. different aspects of data analysis were covered in brief and it was easy to understand.,5,0,good,1
A Big thanks to google and coursera for giving me opportunity to prove my self.,5,0,good,1
This course was a great introduction into Data Analytics. I am curious to learn what possibilities lie ahead for me! Great course!,5,0,good,1
Awesome explanation starting from basics. Everything that a data analyst do is included here. One must definitely go through this.,5,0,good,1
I love the course because it gives the big picture about data analyst role and also the basic detail about what data analyst does. ,5,0,good,1
"This course gave a great look at the basics of being a data analyst, and the opportunities that may arise from taking this course.",5,0,good,1
The course is very well paced and it is engaging. The examples are very useful. Interested in completing the rest of the courses.,5,0,good,1
"this is the best course especially if you are interested in data,it also helps in defining all necessasy steps in be data analyst",5,0,good,1
"I got a general understanding on the data analysis, what a data analyst do and what skills are essential for a good Data Analyst.",5,0,good,1
It was a really productive and nice course at the beginner level. It is a good start for those who want to advance in this field.,5,0,good,1
i really like the course because of the simplification and also a like that you put a lot of practical examples thank you so much,5,0,good,1
"a<U+200B>mazing course, lots of useful information , good instructor and the information is stated reapeatadly in order to be memorized.",5,0,good,1
T<U+200B>he course is great. I regret studying other courses instead of this one. It holds your hands gently to enter the world of data. ,5,0,good,1
my expectations were exceeded for this course.. delivery and quality of material is top notch Thank you google Thank you coursera,5,0,good,1
This course considers all data level of learners and has many link resources for further learning!,5,0,good,1
It was simple but covers everything you need to start and make you start questioning concepts that are involved in data analysis.,5,0,good,1
The course is well designed for absolute beginners. It was a bit repetitive initially but got very interesting and exciting soon.,5,0,good,1
This course gives you a pretty strong foundation of the data analysis process which we'll go into over the next upcoming courses.,5,0,good,1
"Good overview of basic data analysis terms, concepts, and job roles.  Helps a newcomer decide if this is the right path for them.",5,0,good,1
the tutor was amazing good english and good explanation i felt really comfortable learning with him as he was really good talker,5,0,good,1
"What a great definition and introduction to a data analysis course, the instructors are great well explained for every detailes.",5,0,good,1
As for an introductory course I found it really apealing and fun to follow along. I am exited to continue with the next courses.,5,0,good,1
A good starting course to set you up on the Lingo associated in this field and basic upcoming tools one gets to learn and apply.,5,0,good,1
"The stuff was pretty basic, but I liked how it created a base that I am assuming we will build on as we move through the course.",5,0,good,1
Mr Tony explained the conccepts well. I am now  curious to learn more things about Data Analytics. I really enjoyed this course.,5,0,good,1
"The best introduction of data analysis from different points of view in the same scenario, and the best guidance in this regard.",5,0,good,1
The simplicity of the course breakdown is mind-blowing. Learning new stuff in the most engaging way. Thank you Google & Coursera,5,0,good,1
Very complete! An excellent introduction to the foundations of Data Analysis. Google and Coursera did and are doing a great job!,5,0,good,1
"a good mentor explains data analyst from upstream to downstream, some of the applications used and how to be a wise data analyst",5,0,good,1
Concepts are clearly explained and the course is well designed with the required skillset that will help us to get into new jobs,5,0,good,1
Great information and insightful on how data is presented to each of us everyday and how it can be express as a beautiful story.,5,0,good,1
"Educative and greatly informative. I am still a beginner, but the team is able to help me understand the basic of data analysis.",5,0,good,1
The Best introduction of any course. The importance for teams and the act of humbleness is so well explained! Motivating Course.,5,0,good,1
"This course has helped me greatly in opening my eyes that data has power. And without data analysts, data will be without power. ",5,0,good,1
"This course is jampacked of learnings, really excited for the other courses and to become a certified data analyst professional!",5,0,good,1
I am a beginner in this field and the foundation course really helped me get a great insight into what data analytics really is!,5,0,good,1
An excellent introduction to Data Analytics for beginners and a perfect refresher for those already practising as Data Analysts.,5,0,good,1
Very interesting course to start your change in career path with data. Love the tutors and the easy ways they made learning fun.,5,0,good,1
It's a great course to get overall view about various topics around data and data analysis. Content is well organized by google.  ,5,0,good,1
"Excellent foundation. Even though I knew most of the topics I did learn a lot, and refreshed what I knew with a new perspective.",5,0,good,1
it was a great course for someone who was new to data analytics. explanations were easy and the test feedback were also helpful,5,0,good,1
"This course truly sets the foundations, refreshed my knowledge, and reinforced my understanding of data. I highly recommend it! ",5,0,good,1
This course was GREAT for a beginner. It laid the foundations of data analysis and also set the expectations of what's to come!,5,0,good,1
"One of the best course and teaching method I have ever seen in educational career. 
Thank you so much for this type of course .",5,0,good,1
This was a great introduction to data analytics. I really enjoyed the course. And Tony is an excellent instructor! Thank you!!!,5,0,good,1
Amazing! this course help to understand the scope and importance of data and data analyst in organisations. thanks a lot google ,5,0,good,1
"As we say, to go with the flow start is very important. And this is the great start to learn something new for someone like me.",5,0,good,1
"Great Job taking the time to really explain, in detail, all of the concepts.  All the readings and assignments were so helpful.",5,0,good,1
"Gives a basic understanding of who data analysts are, what they do. What are the stages in their jobs. Everything from scratch.",5,0,good,1
"Was an amazing experience, thanks for all this knowledge now we have to keep learning putting all my disposition to learn more",5,0,good,1
The course is very welcoming . And give a broad overview with so many case studies to work on which really is very beneficial.,5,0,good,1
"Excellent module as an introduction to Data Analysis. Sometimes it feels a little bit slow, but it never stops being engaging.",5,0,good,1
"It's a really good for begginers. The only thing is that due to language it was not easy to answer questions ""true""? 'faulse""/",5,0,good,1
This course is made with really simplistic activities and quiz. It kept me enthusiastic and interested through out the course.,5,0,good,1
"Excellent course, even if you have some background in the area it could be really helpful and illustrative taking this course. ",5,0,good,1
"An interesting start, a great skill development from a highly skilled teachers. I am very much appreciated guys...God Bless!!!",5,0,good,1
"The Course went with ease , it was comprehensive and the activities made it very lively and helped us improve our knowledge !!",5,0,good,1
The instructor explained the material very well and it was quite easy to follow along.  Material was adequate for this course. ,5,0,good,1
"This is a very good course for my future, I have learned so many things from this course, and it's a very knowledgeable course",5,0,good,1
Great introduction to what promise as a career changing program from Google. Good luck to everyone starting this new adventure,5,0,good,1
I thought that this first course was an excellent introduction to data analytics and I feel prepared to move on to learn more.,5,0,good,1
"The video lectures were clear, the challenges were engaging, and material was enjoyable and presented in an easy to learn way. ",5,0,good,1
Real time and personal data examples are most required things in any course to teach or make learn things faster.,5,0,good,1
"I enjoyed this course, and thought Tony did an excellent job.  Excited for the opporuntiy to learn more about Data Analytics.",5,0,good,1
"good course , well explained . but i cant download my certificate. it still shown verify id, i already done it. but no change ",5,0,good,1
"It's awesome, I really liked the reflection part, unexpectable for me,  it was a good chance to figure out what I've learned.",5,0,good,1
The way of teaching and the course structure is help to understand easily and interestingly. Thanks Team Google  and coursera,5,0,good,1
Course offered by Google with Coursera is definitely anyone can understand and improve their skills. Very Informative. Thanks ,5,0,good,1
I found this course extremely interesting and informational.  It was very well instructed.  I am excited to continue learning ,5,0,good,1
Very helpful and educative. I has broaden my understanding in Data Analytics and am eager to learn further. Thank You GOOGLE.,5,0,good,1
Thank you to all the staff that helped made this course possible. Thanks for teaching me and giving me wonderful experiences.,5,0,good,1
I love the course and cannot wait until I complete the full course. I am learning so much more than I imagined I would learn!,5,0,good,1
"This course is open to everyone who wants to learn about data analysis. It's as inclusive as it can be, from each standpoint.",5,0,good,1
"It's a very good foundational course to familiarize beginners to the different terms, concepts, and tools for data analysis. ",5,0,good,1
I really liked this course and feel well-suited to learn in this online environment! The weekly tests and tasks are helpful. ,5,0,good,1
"It is more than i expected, I learned a lot and this made me believe more in myself becoming a Google Certified Data Analyst",5,0,good,1
"It is a good course which makes you familiarize with the concepts like data life cycle, data analysis process and much more. ",5,0,good,1
<U+200B>I like the cast study session and also surprised to see that various data analytics share their expeirences in these video.,5,0,good,1
It is excellent to learn from a experience person . I really like this course and intreating to learn deep  in data analyst.,5,0,good,1
"Great instruction, Great instructor as well! This course is definitely help you to walk your first step into the data world!",5,0,good,1
Es un gran curso para entender las habilidades y funciones básicas requeridas para desarrollarte en el entorno de los datos.,5,0,good,1
Nicely presented in a way that beginner can easily get an overview of data. Thank you and looking forward for the next step.,5,0,good,1
I really enjoyed this course. It is easy to understand and follow the direction if you have no background of these industry.,5,0,good,1
"This course is really helpful, it helps me build up the concept and refresh my existed knowlege. Thanks Google and Coursera.",5,0,good,1
Im very grateful for this opportunity Google is giving us to learn online and to impart this knowledge to other people also.,5,0,good,1
"Really loved it. Simple vocabulary used by instructors, with at most basic things were explained. LOVED the learning module.  ",5,0,good,1
Great foundational information. You will learn some terminology and get a glimpse in what the future courses will look like.,5,0,good,1
"This foundation course was a blast. I totally enjoyed how the concepts were explained, learning them was smooth and helpful. ",5,0,good,1
Amazing teachers and good set of assignments and practice exams. Loved and enjoyed the course. Huge thanks to Tony & Google.,5,0,good,1
"This basic knowledge really fits to me, because I have no idea about this before. I hope can reach the 8 course till the end",5,0,good,1
"As the title suggests, it′s all about foundations. Even though I knew already a lot I was still able to learn something new.",5,0,good,1
Contents of this course is very good to understand. Everything is explained in details. i'm very satisfied with this course.,5,0,good,1
Thank you google and Coursera for this amazing course. It gave me a new energy and I am proud of myself for going this far.,5,0,good,1
"Un curso basico muy bien explicado y motivador, deja claro los conceptos clave de las areas de trabajo y vocabulario basico",5,0,good,1
This is a great introduction to Data Analytics. The instructor is very knowledgeable and sharp. Thanks Google and Coursera!,5,0,good,1
"This course is everything I expected and more. As a beginner, I enjoyed and looked forward to every video and quiz",5,0,good,1
"v<U+200B>ery interesting course, looking forward to contuining with the rest. Very well done and thank you for making it available ",5,0,good,1
Provided me with a great foundation.  I will build off what I learned here to really understand this exciting career field.,5,0,good,1
"Videos were clear and direct. Having a busy schedule, I really appreciated that I could take my time to finish assignments. ",5,0,good,1
A very good and gentle introduction to data analysis. It sets a good foundation for the rest of the courses in the program. ,5,0,good,1
Very helpful.  Learning points repeated so that they stick.  Lessons are broken up into nice manageable chunks of learning.,5,0,good,1
"Very detailed, yet straight to the point. The videos, reading materials, and hands on practice questions were also helpful.",5,0,good,1
"A fun and wonderful learning experience and this course is an interesting start for me to start my career as a data analyst


",5,0,good,1
"introduction was very great and expected, also helped me in asking question to everything I do in my daily life. Thank you.",5,0,good,1
"Could have explained SQL from more basics , still I think it is great course to develop good mindset towards data analytics",5,0,good,1
This  course is help my confidence level of  data driven decision making  and how data is important  for predicted  future.,5,0,good,1
I learnt a lot of things even after experience as a data analyst this will definitely make a better the way I was thinking.,5,0,good,1
I<U+200B> really love and enjoyed this course. Its helping me a lot with some of the things that I am currently doing with my job.,5,0,good,1
this course was very intuitive and i appreciate whatever I learn from this course cause it will help me build up my career.,5,0,good,1
Its a good for reviewing if some one has knowledge or have a little bit of working experience. And best for the new comers.,5,0,good,1
It is one of the best courses to start my career in data analytics. I lay a strong foundation for my data analytic journey.,5,0,good,1
I enjoyed every portion of this course. Everything was clear and easy to understand. I can't wait to complete the next one!,5,0,good,1
I loved the content. It gives you a complete idea of what a data analyst should do and motivates you to keep on that track. ,5,0,good,1
I am someone brand new to Data Analysis. This course was very easy to follow and very insightful. The instructor was great. ,5,0,good,1
An introductory course to make aware what the stuff we gonna do in this field. definitely helpfull for getting introduced.,5,0,good,1
It was an awesome learning experinece with google.....Looking ahead to complete professional google analytics certificate.,5,0,good,1
Its a very good course as it clears all the fundamental concepts and prepares you for the next step towards data analysis.,5,0,good,1
This course was very informative and easy to understand. The instructor was very clear and passionate about data analysis. ,5,0,good,1
I am experiencing quality learning environment with this course. I am happy that i made a decision to take up this course.  ,5,0,good,1
"as the name suggests, it was a solid foundation of data, thanks a lot to the instructor tony, this guy knows what he does.",5,0,good,1
Very good education of the field of business analysis and how to apply technologies in your everyday life and as a career.,5,0,good,1
"Stellar and exceptional. Exceeds expectations in terms of quality, course content and materials and excellent instructors. ",5,0,good,1
Great course! Very interactive and covers all the basics about Data Analysis. I loved it and I'm excited for the next one.,5,0,good,1
"A great introductory course to data analysis and a career in data analysis using spreadsheet, SQL, and data visualization. ",5,0,good,1
"I would say its excellent ,I got to know many terms which I heared some where but not know much amount it .thanks COURSERA",5,0,good,1
Great introduction to the field of data analysis. I have no prior experience and have found the course easy to understand.,5,0,good,1
"great foundational start, introduces topics and provides real life examples that helps piece things together to make sense ",5,0,good,1
Really worth watching. You might be an expert but taking course starting from the alphabets will definetley be interesting,5,0,good,1
"Resalto la gran sencillez, orientación al detalle  e integralidad en el manejo del conocimiento por medio de la plataforma",5,0,good,1
"A great introduction to the various concepts related to data, it's processing and analyses as well as career development.",5,0,good,1
"This course helped me in learning, how to start, what tools to use and how to solve problems using Data Analysis process.",5,0,good,1
Really engaging and enjoyable course. Well presented and easy to follow. Thanks to all involved in putting this together.,5,0,good,1
I found much information that i seek about it to know  how these specialist know about expectation . It's so interesting. ,5,0,good,1
Learned many interesting topics every week. Teaching was amazing and I'm really excited in learning the upcoming courses.,5,0,good,1
I have already learned a lot and I am very happy to benefit more from this course and I hope to continue and benefit more,5,0,good,1
"I really enjoyed this course so much , thank you tony for this great presenting of information and thank you google too .",5,0,good,1
"Fantastic, fabulous, and really amazing learning experience. Thank you, Google, for coming up with this great initiative.",5,0,good,1
"Excellent course, the sessions are very clear and easy to learn and I really like the instructor and his way of teaching.",5,0,good,1
This course does what the title says and how.  I enjoyed it greatly and will continue to enjoy each of the other courses.,5,0,good,1
"This course open my eyes wider and even wider! Thanks to all the instructor from Google, and of course the Google itself!",5,0,good,1
"course  is very good it  is interactive and provides all the basic knowledge to those who wants to enter in data science,",5,0,good,1
A nice and basic course for foundation knowledge in data analytics. I understand the thought process of a data analytics.,5,0,good,1
I have gain lots of knowledge about data how to useful our life. In this course I learn new things and improve my skill .,5,0,good,1
El curso superó mis expectativas en cuanto la cantidad de detalle y reforzamiento de cada una de las lecciones aprendidas,5,0,good,1
its very job focused and i liked all the brilliant ideas relating to the thinking of a data analyst that were introduced.,5,0,good,1
I absolultely loved this course. All the instructors and exercises are very enganging and I'm excited for the next seven.,5,0,good,1
"Very well structured course, I got to understand all aspects of Data analytics and gained confidence. Thank you for this.",5,0,good,1
It's well-thought-out and includes interesting content.  The video quality is what struck me the most about this course.,5,0,good,1
After completing the course I can say that this first part is amazing. I am super excited to continue with the next one.,5,0,good,1
Easy to learn and understand. The course is free of cost. The instructor is one of the best professionals in the world,5,0,good,1
It was an interesting course and I benefited a lot from it scientifically and practically. I thank the organizers for it,5,0,good,1
Un curso breve pero que contiene mucha información y da un panorama muy amplio de lo que involucra el análisis de datos.,5,0,good,1
Amazing! it was above my expectations! I learned a lot in this course. Thanks a lot for providing such a great a course.,5,0,good,1
"not only it approached to add my interest, moreover content was very specific and technique of course was very effective ",5,0,good,1
"An academic training method enjoyed by top trainers, thanks to all the contributors to enriching the scientific content. 

",5,0,good,1
"It gave me a great insight about what I'm going to learn, and It was a great motivation for me to become a data analyst.",5,0,good,1
"A good course which I renew my opinion about data analysis,I will work hard to reach my next goal about my data sciense.",5,0,good,1
That was awesome course and highly impressed with the way it is designed that keeps us motivated through out the course.,5,0,good,1
this course is really helpful for us who want to know about IT stuff and i'm a beginner but i know a lot because of this,5,0,good,1
Great course for beginners who want to learn from  scratch and the course gives great insight into data analytics basics,5,0,good,1
It was a great learning experience. The exercises designed for us to implement our learning at every level helped a lot. ,5,0,good,1
I have really enjoyed the foundation of data. I have no reason to doubt that with such a foundation one cannot go wrong,5,0,good,1
I really enjoyed learing the foundation and the roots of Data Analysis. The course was broken down to easily undersand.,5,0,good,1
its encouraging and the course is setup in a way that is both easy to plan for study time and absorbing the information,5,0,good,1
"well structured, easy to understand and with multiple case study / samples provided gives more and deeper understanding",5,0,good,1
The learning material was very interactive and made good use of the quizzes to ensure information was fully assimilated,5,0,good,1
Such an Amazing and Surprising foundation building course in regards to Data Analytics Thanks to coursera and Google :),5,0,good,1
P<U+200B>retty solid foundation on the underlying basics of dta analytics before diving into more technical content! Good job!,5,0,good,1
"This Course is very helpful for me. And there is also discussion forum to explore your knowledge, to put your thoughts.",5,0,good,1
I like that it's a beginner friendly but also helpful in giving a glimpse of what the rest of the course would be like. ,5,0,good,1
Excelente curso donde se establece todas las opciones en donde los datos juegan un papel importante y como analizarlos.,5,0,good,1
"Kudos to Google and team, for having me joining this course. ",5,0,good,1
The course made me realise I have been constricting the definition of data and how much more I need to learn about data ,5,0,good,1
I really enjoyed all the materials and lecture videos. They give very good real-world advice too. Would recommend 100%.,5,0,good,1
"That is Valuable course for me . I have learnt a lot about data Analysis Process ,Data life cycle , and analyst skills.",5,0,good,1
Excellent introduction to data analytics. Its the best foundation course to start with Data analytics  according to me.,5,0,good,1
This brought into a brief idea what iam go guide the Instructor 'TONY' he is like the coach helped me to start Marathon,5,0,good,1
"Excellent course. I learnt about data analyst and their role, how to process the data and how data analysis works etc.,",5,0,good,1
This course opens my eyes to what data analyst actually does and what data is. I am excited to move to the next course. ,5,0,good,1
"Excellent, very well explained, Google made it easy for anyone to understand some difficult-looking concepts and ideas.",5,0,good,1
I feel very confident in that I now have a solid foundation to conitnue on with the course and get the most out of it. ,5,0,good,1
G<U+200B>reat introduction to data analsis and build a clear and strong fundation in the data-driven decision making process.,5,0,good,1
The course is structured in an intersting and learable manner with lots of information being transformed effortlessly.,5,0,good,1
It was a great course. All the materials are easy to learn because the tutor gave actual examples from our daily life.,5,0,good,1
Good entry level course into data analysis. Very conceptual and somewhat hands-on practical exercises. Really enjoyed.,5,0,good,1
This course was challenging but the variety of teaching methods and Teachers kept me motivated to complete the course.,5,0,good,1
"Started this course to explore different fields and ended up loving it. Going to explore and learn more, thanks google",5,0,good,1
A well prepared introcution. A perceive it as a bit repetitive but maybe it was the goal as repetition is to learning.,5,0,good,1
It was a fantastic course. Everything that I learned in this course was new to me. Many Thanks to Coursera and Google. ,5,0,good,1
This course help me out with basic knowledge about spreadsheets and SQL. This boost me to continue to the next course.,5,0,good,1
This course is designed in a way so everyone with little or no prior knowledge of Data Analysis can understand easily.,5,0,good,1
 I dont know how this could get any better. This is by far the most efficient intro course I have ever taken. Congrats!,5,0,good,1
This is a very clear and well-palnned course. I enjoyed lot ,5,0,good,1
The way tony has explained this course has helped me understand so many topics easily and in a fun way. Cheers to tony,5,0,good,1
I really enjoyed taking the course. Not only was challenging but it went to depth about all aspects of data analytics. ,5,0,good,1
This course is superbeneficial for everyone. They tried to cover each area in a very interactive way. just go for it.,5,0,good,1
Absolutely Brilliant!!!,5,0,good,1
This is an eye opener to the world of data. The dexterity of the teaching method and style can not be overemphasized.,5,0,good,1
"Best cource to understand the basis of data, its types and cycle of the data. Also learned the data analysis process.",5,0,good,1
I got a detailed and exploratory introduction to data analysis in an intriguing and encapsulating way in this course.,5,0,good,1
T<U+200B>he instructor was incredible and the information really helpful. I am excited to continue on with my certification!,5,0,good,1
A<U+200B> very good way to kickstart your career or (in my case) to brush-up skills and ground your professional experience.,5,0,good,1
Easy to absorb and I like the way the contents are structured. Big thanks to everyone who made this course available. ,5,0,good,1
One of the best well-written and structured courses I've taken. I wish more courses (like online) were done this way. ,5,0,good,1
Thank you. I have learned a lot of good stuff from this course. Lots of good fundamental knowledge of Data Analytics. ,5,0,good,1
It helped me understand the basics of data analytics and helped me understand complex terms and subjects very easily. ,5,0,good,1
"Very practical course. I learned a lot even though this is the first course of the program. Go myself, keep learning!",5,0,good,1
T<U+200B>his course let me know what is data analysis and data is everywhere in our life and become more and more important. ,5,0,good,1
Its really an amazing course. It made me ease myself into Data science. Looking forward to learning more and growing.,5,0,good,1
"This course changed my perspective on data analytics. I learned more than I expected, and I am excited to learn more!",5,0,good,1
"Great course. Detailed explanation with practical insights about the introduction to data ,datasets and data analysis ",5,0,good,1
This course touches on the basics of SQL and creating graphs from datasets. Ethics in data and bias are also focuses.,5,0,good,1
I really love and appreciate the way this course is organised out. It really make learning fun and easy to carry out.,5,0,good,1
"                I am
continuing with self-teaching of the software I was introduced to and the
links provided to source that material    ",5,0,good,1
I did not expect addressing the fairness of data.  I connected with the training on an unexpected level.  Thank you.   ,5,0,good,1
I truly enjoyed this course! Tony did a great job simplifying it and made it seem like a walk in the Park.,5,0,good,1
Very detailed and hands-on explanations. You will really learn a lot with the step by step instructions and lessons.,5,0,good,1
This course made life easy for me. I was scared thinking that data analyst is about technical skills such as coding.,5,0,good,1
"thanks for this course i do believe in you to learn more and my goal is a job at google and i will do it , thank you ",5,0,good,1
"Thank you for the knowledge, it is very useful, continue to be successful and I hope you can get your dream job soon",5,0,good,1
"Precise and Fantastic Course, If you are planning to become data analyst, I bet you, you'll love taking this course.",5,0,good,1
Great opportunity to learn fundamental knowledge and practical experience from both exercise and stories of lecturer,5,0,good,1
"Easy-to-digest course, very helpful videos providing motivation and insights I need to progress. Highly recommended.",5,0,good,1
It was taught by ine of the best instructirs i have ever seen. One of the best courses intors out there on coursera.,5,0,good,1
"The best course i have ever get into learning, feeling so blessed to learn it from Google through Coursera platform. ",5,0,good,1
"Comprehensive introduction to the world of Data Analysis. Great Instructor, well laid out and thoughtfully executed.",5,0,good,1
"I really enjoyed this  course. Now, i got a good knowledge about data analyst . It will be very useful for my career",5,0,good,1
Great introduction to Data Analysis!! Love the insight from each instructor and also the quality of the information!,5,0,good,1
"Well structured course, I'm glad that I'm enrolled. I hope Google Ads gets added to the list of interactive courses. ",5,0,good,1
"Amazing Explanation for Starting journey of Data world ! Professors are best,They make course even more Interesting.",5,0,good,1
Great course for everyone who wants to understand data analytics! Recommended for those who wants to change careers. ,5,0,good,1
I cant think of a better way to introduce an entire new topic to a newbie like me. Very well done! Much appreciated. ,5,0,good,1
"Easy to understand. Great Instructors. Great course content. I learned a lot of things. Thanks, Google and Coursera.",5,0,good,1
"Excatly what I expected. Simple, insightful, informative and straight forward. I'm glad to be part of this program.  ",5,0,good,1
"The first step is always helpful. This coarse works same. It helped in understanding the Data in more helpful ways,",5,0,good,1
"Excelente curso, me deja con muy buenas impresiones y con ganas de continuar hasta el final con la especializacion.",5,0,good,1
Very useful course. Provide the basics  Knowledge of data analysis as a process and as a role in reak business life ,5,0,good,1
"This is just begining with Data and its analytics learning, awesome guideline and enjoying a lot to know more data.",5,0,good,1
"Great learning style which includes a combination of videoes, reflections and readings & quizzes to test knowledge.",5,0,good,1
This course very well organized. Concepts are clearly explained and the additional resources added are very useful.,5,0,good,1
I really had a wondderful experience. This was my first expereince and I have enjoyed the method of learning a lot. ,5,0,good,1
"The presenter was fantastic, and even as a science teacher, I still learned a lot. I'm very glad I took the course.",5,0,good,1
basically i like the concept of course which so good and reading material is too much interesting or understandable ,5,0,good,1
t<U+200B>he best positives from the course is how its been presented in the most simple and easy way to ease understanding,5,0,good,1
learning with very basics i am understanding the course and enjoying it .hope to enhance the skills more and more .,5,0,good,1
"Great course, with a clear understanding of topics helps in creating greater interest in the field of data science.",5,0,good,1
This course help me to basic understanding of tools as well as it help me to understand of analytics work ,5,0,good,1
"I have already experience as Data Analyst, but this course help me a lot, now I know many concepts about this field",5,0,good,1
A very engaging and fundamental oriented course to brush up u r skills and to be ready to dive in the world of data,5,0,good,1
Excellent Content So Far. Easy to Understand. More importantly 'How you are building the Foundation' for Analytics.,5,0,good,1
I have learned so much about Data Analysis apart from job perspective I also got to know use of data in daily life.,5,0,good,1
"Very informative, this course helped me gain a deep understanding of what a typical data is processed and analyzed.",5,0,good,1
Very insightful! I did this five weeks course in a week because it is very interesting and very easy to understand!,5,0,good,1
"course is skillfull and learn a lot about data analyst job and its importance in present world, thanks to coursera ",5,0,good,1
"Magisterial this course, very comprehensive, well descriptive and explained all the content, thanks Goggle !!!!!!!   ",5,0,good,1
"This course has set me in motion to become the data analyst I want to be.  The tutor, Tony,  is worth been lauded!",5,0,good,1
Easy to understand with study case. but it would be better is the feedback for test its not by automatic responses,5,0,good,1
<U+200B>in love with Data Analytics. I didnt have any knowlage before this course and now i know a lot. Thank you google.,5,0,good,1
Great stepping stone for a new career in Data Analytics. Google Data Analytics program has been a good experience.,5,0,good,1
"T<U+200B>his course is very insightfull. Highly recommend to someone who as me, decided to jump into data analysis world!",5,0,good,1
It's been good start to know the basics of data analysis process and the course taught me in best possible manner.,5,0,good,1
I was able to get to learnt the real meaning and necessity of the data and the job description of the data analyst,5,0,good,1
I love that the course focuses on how to develop an analytical thinking/mindset rather than just how to use tools.,5,0,good,1
I enjoyed this course very much. It exceeded my expectations. I'm eagerly looking forward to take the next course.,5,0,good,1
It was a great first step toward the data analytics. Looking forward to gain more knowledge in this certification.,5,0,good,1
